id,name,section,group,country,image
60, PETIT BASSET GRIFFON VENDEEN, Scent hounds and related breeds, Scent hounds, FRANCE, /petitbassetgriffonvendeen.jpg
61, TYROLEAN HOUND, Scent hounds and related breeds, Scent hounds, AUSTRIA, /tyroleanhound.jpg
62, LAKELAND TERRIER, Terriers, Large and medium sized Terriers, GREAT BRITAIN,/070g03.jpg
63, MANCHESTER TERRIER, Terriers, Large and medium sized Terriers, GREAT BRITAIN,/071g03.jpg
64, NORWICH TERRIER, Terriers, Small sized Terriers, GREAT BRITAIN,/072g03.jpg
65, SCOTTISH TERRIER, Terriers, Small sized Terriers, GREAT BRITAIN,/073g03.jpg
66, SEALYHAM TERRIER, Terriers, Small sized Terriers, GREAT BRITAIN,/074g03.jpg
67, SKYE TERRIER, Terriers, Small sized Terriers, GREAT BRITAIN,/075g03.jpg
68, STAFFORDSHIRE BULL TERRIER, Terriers, Bull type Terriers, GREAT BRITAIN,/076g03.jpg
69, PAPILLON, Companion and Toy Dogs, Continental Toy Spaniel and others, BELGIUM AND FRANCE, /papillon.jpg
70, WELSH TERRIER, Terriers, Large and medium sized Terriers, GREAT BRITAIN,/078g03.jpg
71, BRUSSELS GRIFFON, Companion and Toy Dogs, Small Belgian Dogs, BELGIUM, /brusselsgriffon.jpg
72, GRIFFON BELGE, Companion and Toy Dogs, Small Belgian Dogs, BELGIUM,/081g09.jpg
73, PETIT BRABANCON, Companion and Toy Dogs, Small Belgian Dogs, BELGIUM,/082g09.jpg
74, SCHIPPERKE, Sheepdogs and Cattledogs, Sheepdogs, BELGIUM, /shipperke.jpg
75, BLOODHOUND, Scent hounds and related breeds, Scent hounds, BELGIUM, /bloodhound.jpg
76, WEST HIGHLAND WHITE TERRIER, Terriers, Small sized Terriers, GREAT BRITAIN,/085g03.jpg
77, YORKSHIRE TERRIER, Terriers, Toy Terriers, GREAT BRITAIN,/086g03.jpg
78, CATALAN SHEEPDOG, Sheepdogs and Cattledogs, Sheepdogs, SPAIN, /catalansheepdog.jpg
79, SHETLAND SHEEPDOG, Sheepdogs and Cattledogs, Sheepdogs, GREAT BRITAIN,/088g01.jpg
80, IBIZAN HOUND, Spitz and primitive types, Primitive type - Hunting Dogs, SPAIN, /ibizanhound.jpg
81, BURGOS POINTING DOG, Pointing Dogs, Continental Pointing Dogs, SPAIN, /burgospointingdog.jpg
82, SPANISH MASTIFF, Pinscher and Schnauzer, Molossian type, SPAIN, /spanishmastiff.jpg
83, PYRENEAN MASTIFF, Pinscher and Schnauzer, Molossian type, SPAIN, /pyreneanmastiff.jpg
84, PORTUGUESE SHEEPDOG, Sheepdogs and Cattledogs, Sheepdogs, PORTUGAL,/093g01.jpg
85, PORTUGUESE WARREN HOUND-PORTUGUESE PODENGO, Spitz and primitive types, Primitive type - Hunting Dogs, PORTUGAL,/094g05-1.jpg
86, BRITTANY SPANIEL, Pointing Dogs, Continental Pointing Dogs, FRANCE, /brittany.jpg
87, RAFEIRO OF ALENTEJO, Pinscher and Schnauzer, Molossian type, PORTUGAL,/096g02.jpg
88, GERMAN SPITZ, Spitz and primitive types, European Spitz, GERMANY,/097g05-1.jpg
89, GERMAN WIRE- HAIRED POINTING DOG, Pointing Dogs, Continental Pointing Dogs, GERMANY,/098g07.jpg
90, WEIMARANER, Pointing Dogs, Continental Pointing Dogs, GERMANY,/099g07-2.jpg
91, WESTPHALIAN DACHSBRACKE, Scent hounds and related breeds, Scent hounds, GERMANY, /westphaliandachsbracke.jpg
92, FRENCH BULLDOG, Companion and Toy Dogs, Small Molossian type Dogs, FRANCE,/101g09.jpg
93, KLEINER MUNSTERLANDER, Pointing Dogs, Continental Pointing Dogs, GERMANY, /kleinermunsterlander.jpg
94, GERMAN HUNTING TERRIER, Terriers, Large and medium sized Terriers, GERMANY,/103g03-1.jpg
95, GERMAN SPANIEL, Retrievers, Flushing Dogs, GERMANY,/104g08.jpg
96, FRENCH WATER DOG, Retrievers, Water Dogs, FRANCE, /frenchwaterdog.jpg
97, BLUE PICARDY SPANIEL, Pointing Dogs, Continental Pointing Dogs, FRANCE, /bluepicardyspaniel.jpg
98, WIRE-HAIRED POINTING GRIFFON KORTHALS, Pointing Dogs, Continental Pointing Dogs, FRANCE, /wirehairedpointinggriffonkorthals.jpg
99, PICARDY SPANIEL, Pointing Dogs, Continental Pointing Dogs, FRANCE, /picardyspaniel.jpg
100, CLUMBER SPANIEL, Retrievers, Flushing Dogs, GREAT BRITAIN,/109g08.jpg
101, CURLY COATED RETRIEVER, Retrievers, Retrievers, GREAT BRITAIN,/110g08.jpg
102, GOLDEN RETRIEVER, Retrievers, Retrievers, GREAT BRITAIN,/111g08.jpg
103, BRIARD, Sheepdogs and Cattledogs, Sheepdogs, FRANCE,/113g01.jpg
104, PONT-AUDEMER SPANIEL, Pointing Dogs, Continental Pointing Dogs, FRANCE, /pontaudemerspaniel.jpg
105, SAINT GERMAIN POINTER, Pointing Dogs, Continental Pointing Dogs, FRANCE, /saintgermainpointer.jpg
106, DOGUE DE BORDEAUX, Pinscher and Schnauzer, Molossian type, FRANCE,/116g02.jpg
107, DEUTSCH LANGHAAR, Pointing Dogs, Continental Pointing Dogs, GERMANY,/117g07.jpg
108, LARGE MUNSTERLANDER, Pointing Dogs, Continental Pointing Dogs, GERMANY,/118g07.jpg
109, GERMAN SHORT- HAIRED POINTING DOG, Pointing Dogs, Continental Pointing Dogs, GERMANY,/119g07.jpg
110, IRISH RED SETTER, Pointing Dogs, British and Irish Pointers and Setters, IRELAND, /irishredsetter.jpg
111, FLAT COATED RETRIEVER, Retrievers, Retrievers, GREAT BRITAIN,/121g08.jpg
112, LABRADOR RETRIEVER, Retrievers, Retrievers, GREAT BRITAIN,/122g08.jpg
113, FIELD SPANIEL, Retrievers, Flushing Dogs, GREAT BRITAIN,/123g08.jpg
114, IRISH WATER SPANIEL, Retrievers, Water Dogs, IRELAND, /irishwaterspaniel.jpg
115, ENGLISH SPRINGER SPANIEL, Retrievers, Flushing Dogs, GREAT BRITAIN,/125g08.jpg
116, WELSH SPRINGER SPANIEL, Retrievers, Flushing Dogs, GREAT BRITAIN,/126g08.jpg
117, SUSSEX SPANIEL, Retrievers, Flushing Dogs, GREAT BRITAIN,/127g08.jpg
118, KING CHARLES SPANIEL, Companion and Toy Dogs, English Toy Spaniels, GREAT BRITAIN,/128g09.jpg
119, SMALANDSSTOVARE, Scent hounds and related breeds, Scent hounds, SWEDEN,/129g06.jpg
120, DREVER, Scent hounds and related breeds, Scent hounds, SWEDEN,/130g06.jpg
121, SCHILLERSTOVARE, Scent hounds and related breeds, Scent hounds, SWEDEN,/131g06.jpg
122, HAMILTONSTOVARE, Scent hounds and related breeds, Scent hounds, SWEDEN,/132g06.jpg
123, FRENCH POINTING DOG - GASCOGNE TYPE, Pointing Dogs, Continental Pointing Dogs, FRANCE, /gascognefrenchpointingdog.jpg
124, FRENCH POINTING DOG - PYRENEAN TYPE, Pointing Dogs, Continental Pointing Dogs, FRANCE, /pyreneanfrenchpointingdog.jpg
125, SWEDISH LAPPHUND, Spitz and primitive types, Nordic Watchdogs and Herders, SWEDEN,/135g05.jpg
126, CAVALIER KING CHARLES SPANIEL, Companion and Toy Dogs, English Toy Spaniels, GREAT BRITAIN,/136g09.jpg
127, PYRENEAN MOUNTAIN DOG, Pinscher and Schnauzer, Molossian type, FRANCE,/137g02.jpg
128, PYRENEAN SHEEPDOG - SMOOTH FACED, Sheepdogs and Cattledogs, Sheepdogs, FRANCE, /pyreneansheepdogsmoothfaced.jpg
129, IRISH TERRIER, Terriers, Large and medium sized Terriers, IRELAND, /irishterrier.jpg
130, BOSTON TERRIER, Companion and Toy Dogs, Small Molossian type Dogs, UNITED STATES OF AMERICA, /bostonterrier.jpg
131, LONG-HAIRED PYRENEAN SHEEPDOG, Sheepdogs and Cattledogs, Sheepdogs, FRANCE,/141g01.jpg
132, SLOVAKIAN CHUVACH, Sheepdogs and Cattledogs, Sheepdogs, SLOVAKIA, /slovakianchuvach.jpg
133, DOBERMANN, Pinscher and Schnauzer, Pinscher and Schnauzer type, GERMANY,/143g02.jpg
134, BOXER, Pinscher and Schnauzer, Molossian type, GERMANY,/144g02.jpg
135, LEONBERGER, Pinscher and Schnauzer, Molossian type, GERMANY, /leonberger.jpg
136, RHODESIAN RIDGEBACK, Scent hounds and related breeds, Related breeds, SOUTH AFRICA, /rhodesianridgeback.jpg
137, ROTTWEILER, Pinscher and Schnauzer, Molossian type, GERMANY, /rottweiler.jpg
138, DACHSHUND, Dachshunds, BLANK, GERMANY,/148g04-1.jpg
139, BULLDOG, Pinscher and Schnauzer, Molossian type, GREAT BRITAIN,/149g02.jpg
140, SERBIAN HOUND, Scent hounds and related breeds, Scent hounds, SERBIA,/150g06.jpg
141, ISTRIAN SHORT-HAIRED HOUND, Scent hounds and related breeds, Scent hounds, CROATIA,/151g06.jpg
142, ISTRIAN WIRE-HAIRED HOUND, Scent hounds and related breeds, Scent hounds, CROATIA,/152g06.jpg
143, DALMATIAN, Scent hounds and related breeds, Related breeds, CROATIA,/153g06.jpg
144, POSAVATZ HOUND, Scent hounds and related breeds, Scent hounds, CROATIA,/154g06.jpg
145, BOSNIAN BROKEN-HAIRED HOUND - CALLED BARAK, Scent hounds and related breeds, Scent hounds, BOSNIA AND HERZEGOVINA,/155g06.jpg
146, COLLIE ROUGH, Sheepdogs and Cattledogs, Sheepdogs, GREAT BRITAIN,/156g01.jpg
