id,name,section,group,country,image
245, TOSA, Pinscher and Schnauzer, Molossian type, JAPAN,/260g02.jpg
246, HOKKAIDO, Spitz and primitive types, Asian Spitz and related breeds, JAPAN,/261g05.jpg
247, JAPANESE SPITZ, Spitz and primitive types, Asian Spitz and related breeds, JAPAN,/262g05.jpg
248, CHESAPEAKE BAY RETRIEVER, Retrievers, Retrievers, UNITED STATES OF AMERICA, /chesapeakebayretriever.jpg
249, MASTIFF, Pinscher and Schnauzer, Molossian type, GREAT BRITAIN, /mastiff.jpg
250, NORWEGIAN LUNDEHUND, Spitz and primitive types, Nordic Hunting Dogs, NORWAY,/265g05.jpg
251, HYGEN HOUND, Scent hounds and related breeds, Scent hounds, NORWAY,/266g06.jpg
252, HALDEN HOUND, Scent hounds and related breeds, Scent hounds, NORWAY,/267g06.jpg
253, NORWEGIAN ELKHOUND BLACK, Spitz and primitive types, Nordic Hunting Dogs, NORWAY,/268g05.jpg
254, SALUKI, Sighthounds, Long-haired or fringed Sighthounds, MIDDLE EAST, /saluki.jpg
255, SIBERIAN HUSKY, Spitz and primitive types, Nordic Sledge Dogs, UNITED STATES OF AMERICA, /siberianhusky.jpg
256, BEARDED COLLIE, Sheepdogs and Cattledogs, Sheepdogs, GREAT BRITAIN,/271g01.jpg
257, NORFOLK TERRIER, Terriers, Small sized Terriers, GREAT BRITAIN,/272g03.jpg
258, CANAAN DOG, Spitz and primitive types, Primitive type, ISRAEL, /canaandog.jpg
259, GREENLAND DOG, Spitz and primitive types, Nordic Sledge Dogs, GREENLAND,/274g05.jpg
260, BRAZILIAN TRACKER, Scent hounds and related breeds, Scent hounds, BRAZIL,/275g06.jpg
261, NORRBOTTENSPITZ, Spitz and primitive types, Nordic Hunting Dogs, SWEDEN,/276g05.jpg
262, CROATIAN SHEPHERD DOG, Sheepdogs and Cattledogs, Sheepdogs, CROATIA,/277g01.jpg
263, KARST SHEPHERD DOG, Pinscher and Schnauzer, Molossian type, SLOVENIA,/278g02.jpg
264, MONTENEGRIN MOUNTAIN HOUND, Scent hounds and related breeds, Scent hounds, MONTENEGRO,/279g06.jpg
265, OLD DANISH POINTING DOG, Pointing Dogs, Continental Pointing Dogs, DENMARK, /olddanishpointingdog.jpg
266, GRAND GRIFFON VENDEEN, Scent hounds and related breeds, Scent hounds, FRANCE,/282g06.jpg
267, COTON DE TULEAR, Companion and Toy Dogs, Bichons and related breeds, MADAGASCAR, /cotondetulear.jpg
268, LAPPONIAN HERDER, Spitz and primitive types, Nordic Watchdogs and Herders, FINLAND, /lapponianherder.jpg
269, SPANISH GREYHOUND, Sighthounds, Short-haired Sighthounds, SPAIN, /spanishgreyhound.jpg
270, AMERICAN STAFFORDSHIRE TERRIER, Terriers, Bull type Terriers, UNITED STATES OF AMERICA, /americanstaffordshireterrier.jpg
271, AUSTRALIAN CATTLE DOG, Sheepdogs and Cattledogs, Cattledogs (except Swiss Cattledogs), AUSTRALIA,/287g01.jpg
272, CHINESE CRESTED DOG, Companion and Toy Dogs, Hairless Dogs, CHINA,/288g09.jpg
273, ICELANDIC SHEEPDOG, Spitz and primitive types, Nordic Watchdogs and Herders, ICELAND,/289g05.jpg
274, BEAGLE HARRIER, Scent hounds and related breeds, Scent hounds, FRANCE, /beagleharrier.jpg
275, EURASIAN, Spitz and primitive types, Asian Spitz and related breeds, GERMANY,/291g05-1.jpg
276, DOGO ARGENTINO, Pinscher and Schnauzer, Molossian type, ARGENTINA,/292g02.jpg
277, AUSTRALIAN KELPIE, Sheepdogs and Cattledogs, Sheepdogs, AUSTRALIA,/293g01.jpg
278, OTTERHOUND, Scent hounds and related breeds, Scent hounds, GREAT BRITAIN,/294g06.jpg
279, HARRIER, Scent hounds and related breeds, Scent hounds, GREAT BRITAIN, /harrier.jpg
280, COLLIE SMOOTH, Sheepdogs and Cattledogs, Sheepdogs, GREAT BRITAIN,/296g01.jpg
281, BORDER COLLIE, Sheepdogs and Cattledogs, Sheepdogs, GREAT BRITAIN,/297g01.jpg
282, ROMAGNA WATER DOG, Retrievers, Water Dogs, ITALY,/298g08-1.jpg
283, GERMAN HOUND, Scent hounds and related breeds, Scent hounds, GERMANY, /germanhound.jpg
284, BLACK AND TAN COONHOUND, Scent hounds and related breeds, Scent hounds, UNITED STATES OF AMERICA,/300g06.jpg
285, AMERICAN WATER SPANIEL, Retrievers, Water Dogs, UNITED STATES OF AMERICA, /americanwaterspaniel.jpg
286, IRISH GLEN OF IMAAL TERRIER, Terriers, Large and medium sized Terriers, IRELAND, /irishglenofimaalterrier.jpg
287, AMERICAN FOXHOUND, Scent hounds and related breeds, Scent hounds, UNITED STATES OF AMERICA, /americanfoxhound.jpg
288, RUSSIAN-EUROPEAN LAIKA, Spitz and primitive types, Nordic Hunting Dogs, RUSSIAN FEDERATION, /russianeuropeanlaika.jpg
289, EAST SIBERIAN LAIKA, Spitz and primitive types, Nordic Hunting Dogs, RUSSIAN FEDERATION,/305g05-1.jpg
290, WEST SIBERIAN LAIKA, Spitz and primitive types, Nordic Hunting Dogs, RUSSIAN FEDERATION,/306g05.jpg
291, AZAWAKH, Sighthounds, Short-haired Sighthounds, MALI,/307g10-1.jpg
292, DUTCH SMOUSHOND, Pinscher and Schnauzer, Pinscher and Schnauzer type, THE NETHERLANDS, /dutchsmoushond.jpg
293, SHAR PEI, Pinscher and Schnauzer, Molossian type, CHINA, /sharpei.jpg
294, PERUVIAN HAIRLESS DOG, Spitz and primitive types, Primitive type, PERU,/310g05.jpg
295, SAARLOOS WOLFHOND, Sheepdogs and Cattledogs, Sheepdogs, THE NETHERLANDS,/311g01-1.jpg
296, DUCK TOLLING RETRIEVER, Retrievers, Retrievers, CANADA, /ducktollingretriever.jpg
297, DUTCH SCHAPENDOES, Sheepdogs and Cattledogs, Sheepdogs, THE NETHERLANDS,/313g01-1.jpg
298, NEDERLANDSE KOOIKERHONDJE, Retrievers, Flushing Dogs, THE NETHERLANDS,/314g08-1.jpg
299, BROHOLMER, Pinscher and Schnauzer, Molossian type, DENMARK,/315g02.jpg
300, FRENCH WHITE AND ORANGE HOUND, Scent hounds and related breeds, Scent hounds, FRANCE, /frenchwhiteandorangehound.jpg
301, KAI, Spitz and primitive types, Asian Spitz and related breeds, JAPAN,/317g05.jpg
302, KISHU, Spitz and primitive types, Asian Spitz and related breeds, JAPAN,/318g05.jpg
303, SHIKOKU, Spitz and primitive types, Asian Spitz and related breeds, JAPAN,/319g05.jpg
304, WIREHAIRED SLOVAKIAN POINTER, Pointing Dogs, Continental Pointing Dogs, SLOVAKIA, /wirehairedslovakianpointer.jpg
305, MAJORCA SHEPHERD DOG, Sheepdogs and Cattledogs, Sheepdogs, SPAIN, /majorcashepherddog.jpg
306, GREAT ANGLO-FRENCH TRICOLOUR HOUND, Scent hounds and related breeds, Scent hounds, FRANCE, /greatanglofrenchtricolourhound.jpg
307, GREAT ANGLO-FRENCH WHITE AND BLACK HOUND, Scent hounds and related breeds, Scent hounds, FRANCE,/323g06.jpg
308, GREAT ANGLO-FRENCH WHITE & ORANGE HOUND, Scent hounds and related breeds, Scent hounds, FRANCE, /greatanglofrenchwhiteandorangehound.jpg
309, MEDIUM-SIZED ANGLO-FRENCH HOUND, Scent hounds and related breeds, Scent hounds, FRANCE, /mediumsizedanglofrenchhound.jpg
310, SOUTH RUSSIAN SHEPHERD DOG, Sheepdogs and Cattledogs, Sheepdogs, RUSSIAN FEDERATION,/326g01.jpg
311, RUSSIAN BLACK TERRIER, Pinscher and Schnauzer, Pinscher and Schnauzer type, RUSSIAN FEDERATION,/327g02.jpg
312, CAUCASIAN SHEPHERD DOG, Pinscher and Schnauzer, Molossian type, RUSSIAN FEDERATION,/328g02.jpg
313, CANARIAN WARREN HOUND, Spitz and primitive types, Primitive type - Hunting Dogs, SPAIN,/329g05.jpg
314, IRISH RED AND WHITE SETTER, Pointing Dogs, British and Irish Pointers and Setters, IRELAND, /irishredandwhitesetter.jpg
315, KANGAL SHEPHERD DOG, Pinscher and Schnauzer, Molossian type, TURKEY,/331g02.jpg
316, CZECHOSLOVAKIAN WOLFDOG, Sheepdogs and Cattledogs, Sheepdogs, SLOVAKIA, /czechoslovakianwolfdog.jpg
317, POLISH GREYHOUND, Sighthounds, Short-haired Sighthounds, POLAND, /polishgreyhound.jpg
318, KOREA JINDO DOG, Spitz and primitive types, Asian Spitz and related breeds, KOREA (REPUBLIC OF),/334g05.jpg
319, CENTRAL ASIA SHEPHERD DOG, Pinscher and Schnauzer, Molossian type, RUSSIAN FEDERATION,/335g02-1.jpg
320, SPANISH WATER DOG, Retrievers, Water Dogs, SPAIN, /spanishwaterdog.jpg
321, ITALIAN SHORT-HAIRED SEGUGIO, Scent hounds and related breeds, Scent hounds, ITALY,/337g06.jpg
322, THAI RIDGEBACK DOG, Spitz and primitive types, Primitive type - Hunting Dogs, THAILAND, /thairidgebackdog.jpg
323, PARSON RUSSELL TERRIER, Terriers, Large and medium sized Terriers, GREAT BRITAIN,/339g03.jpg
324, SAINT MIGUEL CATTLE DOG, Pinscher and Schnauzer, Molossian type, PORTUGAL, /saintmiguelcattledog.jpg
325, BRAZILIAN TERRIER, Terriers, Large and medium sized Terriers, BRAZIL,/341g03.jpg
326, AUSTRALIAN SHEPHERD, Sheepdogs and Cattledogs, Sheepdogs, UNITED STATES OF AMERICA, /australianshepherd.jpg
327, ITALIAN CANE CORSO, Pinscher and Schnauzer, Molossian type, ITALY, /canecorso.jpg
328, AMERICAN AKITA, Spitz and primitive types, Asian Spitz and related breeds, JAPAN, /americanakita.jpg
329, JACK RUSSELL TERRIER, Terriers, Small sized Terriers, GREAT BRITAIN,/345g03-1.jpg
330, PRESA CANARIO, Pinscher and Schnauzer, Molossian type, SPAIN, /presacanario.jpg
331, WHITE SWISS SHEPHERD DOG, Sheepdogs and Cattledogs, Sheepdogs, SWITZERLAND,/347g01-1.jpg
332, TAIWAN DOG, Spitz and primitive types, Primitive type - Hunting Dogs, TAIWAN,/348g05.jpg
333, ROMANIAN MIORITIC SHEPHERD DOG, Sheepdogs and Cattledogs, Sheepdogs, ROMANIA, /romanianmioriticshepherddog.jpg
334, ROMANIAN CARPATHIAN SHEPHERD DOG, Sheepdogs and Cattledogs, Sheepdogs, ROMANIA,/350g01.jpg
335, AUSTRALIAN STUMPY TAIL CATTLE DOG, Sheepdogs and Cattledogs, Cattledogs (except Swiss Cattledogs), AUSTRALIA, /australianstumpytailcattledog.jpg
336, RUSSIAN TOY, Companion and Toy Dogs, Continental Toy Spaniel and others, RUSSIAN FEDERATION,/352g09-1.jpg
337, CIMARRON URUGUAYO, Pinscher and Schnauzer, Molossian type, URUGUAY, /cimarronuruguayo.jpg
338, POLISH HUNTING DOG, Scent hounds and related breeds, Scent hounds, POLAND, /polishhuntingdog.jpg
339, BOSNIAN AND HERZEGOVINIAN - CROATIAN SHEPHERD DOG, Pinscher and Schnauzer, Molossian type, BOSNIA AND HERZEGOVINA AND CROATIA,/355g02.jpg
340, DANISH-SWEDISH FARMDOG, Pinscher and Schnauzer, Pinscher and Schnauzer type, DENMARK AND SWEDEN,/356g02.jpg
341, ROMANIAN BUCOVINA SHEPHERD, Pinscher and Schnauzer, Molossian type, ROMANIA,/357g02.jpg
342, THAI BANGKAEW DOG, Spitz and primitive types, Asian Spitz and related breeds, THAILAND,/358g05.jpg
343, MINIATURE BULL TERRIER, Terriers, Bull type Terriers, GREAT BRITAIN,/359g03.jpg
344, LANCASHIRE HEELER, Sheepdogs and Cattledogs, Sheepdogs, ENGLAND,/360g01.jpg
345, SEGUGIO MAREMMANO, Scent hounds and related breeds, Scent hounds, ITALY,/361g06-1.jpg
346, KINTAMANI-BALI DOG, Spitz and primitive types, Asian Spitz and related breeds, INDONESIA,/362g05.jpg
347, PRAGUE RATTER, Companion and Toy Dogs, Continental Toy Spaniel and others, CZECH REPUBLIC,/363g09-1.jpg
348, BOHEMIAN SHEPHERD DOG, Sheepdogs and Cattledogs, Sheepdogs, CZECH REPUBLIC,/364g01-1.jpg
349, YAKUTIAN LAIKA, Spitz and primitive types, Nordic Sledge Dogs, RUSSIAN FEDERATION,/365g05-1.jpg
350, ESTONIAN HOUND, Scent hounds and related breeds, Scent hounds, ESTONIA,/366g06.jpg
351, MINIATURE AMERICAN SHEPHERD, Sheepdogs and Cattledogs, Sheepdogs, UNITED STATES OF AMERICA, /miniatureamericanshepherd.jpg
352, TRANSMONTANO MASTIFF, Pinscher and Schnauzer, Molossian type, PORTUGAL,/368g02.jpg
